uid,combo,mbti,rank,院校名称,专业名称,最低分,Predicted_MBTI,est_score
u_0,化学+物理+生物,ISTJ,1,上海工商外国语职业学院,机械设计制造类,100,ISTJ,4.000000000000273
u_0,化学+物理+生物,ISTJ,2,上海健康医学院,药品与医疗器械类,258,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,3,湖北中医药高等专科学校,药品与医疗器械类,246,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,4,上海第二工业大学,机械设计制造类,259,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,5,上海行健职业学院,道路运输类,193,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,6,华东交通大学,铁道运输类,241,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,7,华东交通大学,道路运输类,246,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,8,上海电子信息职业技术学院,安全类,245,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,9,湖南高速铁路职业技术学院,铁道运输类,173,ISTJ,4.000000000000018
u_0,化学+物理+生物,ISTJ,10,上海工商职业技术学院,道路运输类,187,ISTJ,4.000000000000018
u_1,化学+政治+生物,ISFJ,1,天津医学高等专科学校,康复治疗类,242,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,2,湖北中医药高等专科学校,医学技术类,261,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,3,上海建设管理职业技术学院,林业类,164,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,4,上海农林职业技术学院,畜牧业类,242,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,5,江苏卫生健康职业学院,康复治疗类,242,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,6,合肥职业技术学院,医学技术类,191,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,7,天津医学高等专科学校,医学技术类,241,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,8,山东畜牧兽医职业学院,畜牧业类,205,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,9,安徽医学高等专科学校,医学技术类,234,ISFJ,4.00000000000004
u_1,化学+政治+生物,ISFJ,10,上海农林职业技术学院,农业类,233,ISFJ,4.00000000000004
u_2,化学+地理+物理,ISTJ,1,上海工商外国语职业学院,机械设计制造类,100,ISTJ,4.000000000000273
u_2,化学+地理+物理,ISTJ,2,上海健康医学院,药品与医疗器械类,258,ISTJ,4.000000000000018
u_2,化学+地理+物理,ISTJ,3,湖北中医药高等专科学校,药品与医疗器械类,246,ISTJ,4.000000000000018
u_2,化学+地理+物理,ISTJ,4,上海第二工业大学,机械设计制造类,259,ISTJ,4.000000000000018
u_2,化学+地理+物理,ISTJ,5,上海行健职业学院,道路运输类,193,ISTJ,4.000000000000018
u_2,化学+地理+物理,ISTJ,6,华东交通大学,铁道运输类,241,ISTJ,4.000000000000018
