年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海工商外国语职业学院,机械设计制造类,数控技术,100,6003.0,0,138
2023,上海,综合,专科批,上海工商外国语职业学院,体育类,休闲体育,101,5997.0,0,153
2023,上海,综合,专科批,上海思博职业技术学院,护理类,护理,101,5997.0,0,199
2023,上海,综合,专科批,上海济光职业技术学院,计算机类,计算机网络技术（宝山校区）,103,5991.0,0,156
2023,上海,综合,专科批,上海震旦职业学院,计算机类,数字媒体技术,103,5991.0,0,161
2023,上海,综合,专科批,上海建设管理职业技术学院,房地产类,房地产经营与管理（办学点：总校区）,104,5980.0,0,172
2023,上海,综合,专科批,上海旅游高等专科学校,电子商务类,电子商务,104,5980.0,0,194
2023,上海,综合,专科批,上海工商职业技术学院,计算机类,计算机网络技术（嘉定校区）,107,5962.0,0,149
2023,上海,综合,专科批,上海震旦职业学院,教育类,学前教育（口吃者不宜）,107,5962.0,0,115
2023,上海,综合,专科批,上海工商外国语职业学院,广播影视类,影视编导,107,5962.0,0,144
2023,上海,综合,专科批,上海济光职业技术学院,建筑设计类,建筑室内设计（杨浦校区）,107,5962.0,0,154
2023,上海,综合,专科批,上海震旦职业学院,自动化类,机电一体化技术,109,5950.0,0,146
2023,上海,综合,专科批,上海思博职业技术学院,土建施工类,"建筑工程技术（装配化施工方向。高本贯通。入校三年后,通过转段考试进入上海建桥学院工程管理专业本科段学习）",109,5950.0,0,184
2023,上海,综合,专科批,上海震旦职业学院,护理类,护理（色盲、色弱者不宜）,110,5939.0,0,183
2023,上海,综合,专科批,上海南湖职业技术学院,旅游类,民宿管理与运营,111,5933.0,0,163
2023,上海,综合,专科批,上海旅游高等专科学校,旅游类,会展策划与管理,111,5933.0,0,197
2023,上海,综合,专科批,上海民远职业技术学院,经济贸易类,关务与外贸服务,111,5933.0,0,144
2023,上海,综合,专科批,上海思博职业技术学院,公共卫生与卫生管理类,卫生信息管理（病案管理与医疗文秘方向）,112,5923.0,0,188
