年份,批次_code,最低分,最低位次,平均分
2023,0,100,6003.0,138
2023,0,101,5997.0,153
2023,0,101,5997.0,199
2023,0,103,5991.0,156
2023,0,103,5991.0,161
2023,0,104,5980.0,172
2023,0,104,5980.0,194
2023,0,107,5962.0,149
2023,0,107,5962.0,115
2023,0,107,5962.0,144
2023,0,107,5962.0,154
2023,0,109,5950.0,146
2023,0,109,5950.0,184
2023,0,110,5939.0,183
2023,0,111,5933.0,163
2023,0,111,5933.0,197
2023,0,111,5933.0,144
2023,0,112,5923.0,188
2023,0,112,5923.0,132
2023,0,114,5903.0,181
2023,0,115,5894.0,164
2023,0,115,5894.0,141
2023,0,116,5883.0,116
2023,0,116,5883.0,172
2023,0,118,5867.0,162
2023,0,120,5849.0,184
2023,0,120,5849.0,157
2023,0,121,5843.0,192
2023,0,122,5832.0,150
2023,0,123,5821.0,123
2023,0,124,5816.0,184
2023,0,124,5816.0,172
2023,0,124,5816.0,157
2023,0,124,5816.0,185
2023,0,124,5816.0,124
2023,0,125,5805.0,125
2023,0,126,5794.0,126
2023,0,126,5794.0,176
2023,0,126,5794.0,153
2023,0,127,5784.0,167
2023,0,128,5773.0,183
2023,0,128,5773.0,188
2023,0,128,5773.0,189
2023,0,128,5773.0,181
2023,0,129,5761.0,141
2023,0,130,5755.0,173
2023,0,130,5755.0,130
2023,0,132,5732.0,156
2023,0,132,5732.0,179
2023,0,134,5705.0,158
2023,0,135,5691.0,181
2023,0,135,5691.0,176
2023,0,135,5691.0,160
2023,0,135,5691.0,161
2023,0,135,5691.0,171
2023,0,142,5602.0,171
2023,0,143,5584.0,174
2023,0,144,5570.0,146
2023,0,145,5557.0,145
2023,0,146,5540.0,146
2023,0,147,5524.0,173
2023,0,147,5524.0,188
2023,0,148,5511.0,168
2023,0,148,5511.0,207
2023,0,149,5493.0,198
2023,0,149,5493.0,192
2023,0,150,5480.0,203
2023,0,150,5480.0,176
2023,0,151,5461.0,166
2023,0,151,5461.0,151
2023,0,152,5442.0,152
2023,0,152,5442.0,172
2023,0,153,5416.0,192
2023,0,155,5382.0,193
2023,0,155,5382.0,173
2023,0,156,5361.0,189
2023,0,156,5361.0,187
2023,0,157,5340.0,159
2023,0,157,5340.0,187
2023,0,157,5340.0,157
2023,0,157,5340.0,169
2023,0,157,5340.0,199
2023,0,158,5315.0,185
2023,0,158,5315.0,158
2023,0,159,5286.0,173
2023,0,160,5264.0,198
2023,0,162,5212.0,207
2023,0,164,5153.0,202
2023,0,164,5153.0,197
2023,0,164,5153.0,200
2023,0,164,5153.0,193
2023,0,165,5132.0,187
2023,0,166,5103.0,166
2023,0,168,5049.0,207
2023,0,170,5000.0,190
2023,0,170,5000.0,178
2023,0,170,5000.0,170
