新科诺奖得主受聘、空间启新，相辉研究院两岁了！,/2025/1121/c4a147447/page.htm,11月20日下午，复旦大学相辉研究院高质量发展学术论坛暨两周年空间启新仪式在湾谷科技园D1二层举行，该空间具备完善的会议设备、舒适...,2025-11-21,13
祝贺！2位复旦人当选院士,/2025/1121/c4a147425/page.htm,11月21日，中国科学院、中国工程院公布了2025年院士增选结果，2位复旦人入选。复旦大学附属中山医院院长、教授周俭当选中国科学院院...,2025-11-21,16
复旦大学授予阿拉伯国家联盟秘书长艾哈迈德•阿布•盖特名誉博士学位,/2025/1121/c4a147417/page.htm,11月20日上午，复旦大学授予阿拉伯国家联盟（以下简称“阿盟”）秘书长艾哈迈德•阿布•盖特（Ahmed Aboul Gheit）名誉博士学位。复旦...,2025-11-20,119
共百廿，“复”未来！复旦大学校友总会第四届理事会第四次会议暨复旦大学各地校友会会长会议在深圳召开,/2025/1118/c4a147356/page.htm,初冬时节，南国风暖，鹏城迎来了从五湖四海前来相聚的复旦大学校友。值此复旦建校百廿之年，11月16日下午，复旦大学校友总会第四届理...,2025-11-18,496
【浦江科学大师讲坛】地球之外还有生命吗？诺奖得主迪迪埃·奎洛兹在复旦分享天体物理学的奇妙发现,/2025/1117/c4a147338/page.htm,“我的世界是一个充满发现的世界，一个星球的世界。”诺贝尔物理学奖得主、瑞士苏黎世联邦理工学院物理学教授迪迪埃·奎洛兹（Didier ...,2025-11-17,206
顶尖专家汇聚上医文化论坛，探索医学新质生产力发展路径,/2025/1117/c4a147336/page.htm,11月16日，“新质驱动·融合创新——科技自主创新和人才自主培养主题研讨会暨第十届上医文化论坛”在深圳市举办。本次论坛由复旦大学上...,2025-11-17,147
复旦学子邱祺缘在第十五届全国运动会体操项目女子高低杠决赛摘得金牌,/2025/1116/c4a147333/page.htm,刚刚，在第十五届全国运动会体操项目女子高低杠决赛中，复旦大学新闻学院2025级本科生邱祺缘以14.640分的优异成绩摘得金牌🥇！祝贺邱...,2025-11-16,324
 复旦大学与深圳市人民政府签署战略合作框架协议,/2025/1116/c4a147331/page.htm,11月16日，复旦大学与深圳市人民政府战略合作框架协议签约活动在深圳举行。深圳市市长覃伟中、复旦大学校长金力出席活动并见证签约。...,2025-11-16,711
饿一饿为什么更健康？复旦团队在Nature发表的最新成果揭示原因,/2025/1113/c4a147306/page.htm,近年来，“轻断食”风靡全球，只需简单地控制进食时间，让身体保持适度饥饿，不仅能调动脂肪、稳定血糖，还能清除体内的老废代谢物，...,2025-11-13,1004
【上海市哲学社会科学优秀成果奖】朱立元获“学术贡献奖”：70岁为本科生授课，80岁仍做研究,/2025/1113/c4a147309/page.htm,日前，上海市第十七届哲学社会科学优秀成果奖出炉，最高奖项“学术贡献奖”之一授予朱立元，以肯定他在西方美学、马克思主义美学等研...,2025-11-12,272
复旦大学虹桥医学创新园区启动建设,/2025/1109/c4a147192/page.htm,今年是复旦大学建校120周年，复旦大学医学学科建设翻开崭新篇章——复旦大学虹桥医学创新园区获批立项，将在虹桥国际中央商务区前湾片...,2025-11-09,589
陈省身数学奖！复旦教授攻克拓扑核心难题,/2025/1107/c4a147184/page.htm,数学家的办公室多走“极简风”，但王国祯的办公室，却藏着另一番风景。靠墙的几个书架不够用，他又添了三个高耸的旋转书架。定睛一看...,2025-11-07,253
复旦大学与中国工商银行签署全面战略合作框架协议,/2025/1108/c4a147189/page.htm,11月6日下午，复旦大学与中国工商银行签署全面战略合作框架协议。在复旦大学校长、中国科学院院士金力，中国工商银行行长刘珺的见证下...,2025-11-06,222
复旦牵头成立全国介孔材料技术标准化工作组，以标准引领高质量发展,/2025/1105/c4a147171/page.htm,为紧扣国务院“强化标准引领保障作用”部署要求，落实李强总理主持国务院第十六次专题学习时“推动标准化与科技创新互动发展”的精神...,2025-11-05,516
