frame,time_s,visibility,x_px,y_px,court_x_m,court_y_m,speed_mps,is_missing,is_interpolated,is_spatial_valid,speed_valid,confidence,source
0,0.000000,0,,,,,,1,0,0,0,0.000,rejected_static_motion
1,0.033367,1,663.000,351.000,,,,0,0,0,0,0.465,refined
2,0.066733,1,662.000,351.000,,,,0,0,0,0,0.473,refined
3,0.100100,1,662.000,352.000,,,,0,0,0,0,0.417,refined
4,0.133467,1,663.000,352.000,,,,0,0,0,0,0.433,refined
5,0.166834,1,662.000,349.000,,,,0,0,0,0,0.413,refined
6,0.200200,1,663.000,351.000,,,,0,0,0,0,0.444,refined
7,0.233567,1,663.000,352.000,,,,0,0,0,0,0.434,refined
8,0.266934,1,662.000,350.000,,,,0,0,0,0,0.427,refined
9,0.300300,1,660.000,348.000,,,,0,0,0,0,0.439,refined
10,0.333667,1,661.000,350.000,,,,0,0,0,0,0.430,refined
11,0.367034,1,661.000,351.000,,,,0,0,0,0,0.425,refined
12,0.400400,1,660.000,351.000,,,,0,0,0,0,0.454,refined
13,0.433767,0,,,,,,1,0,0,0,0.000,missing
14,0.467134,0,,,,,,1,0,0,0,0.000,rejected_jump
15,0.500501,0,,,,,,1,0,0,0,0.000,rejected_jump
16,0.533867,0,,,,,,1,0,0,0,0.000,missing
17,0.567234,0,,,,,,1,0,0,0,0.000,missing
18,0.600601,0,,,,,,1,0,0,0,0.000,missing
19,0.633967,0,,,,,,1,0,0,0,0.000,missing
20,0.667334,0,,,,,,1,0,0,0,0.000,missing
21,0.700701,0,,,,,,1,0,0,0,0.000,missing
22,0.734067,0,,,,,,1,0,0,0,0.000,missing
23,0.767434,0,,,,,,1,0,0,0,0.000,missing
24,0.800801,0,,,,,,1,0,0,0,0.000,missing
25,0.834168,0,,,,,,1,0,0,0,0.000,missing
26,0.867534,0,,,,,,1,0,0,0,0.000,missing
27,0.900901,0,,,,,,1,0,0,0,0.000,missing
28,0.934268,0,,,,,,1,0,0,0,0.000,missing
29,0.967634,0,,,,,,1,0,0,0,0.000,missing
30,1.001001,0,,,,,,1,0,0,0,0.000,missing
31,1.034368,0,,,,,,1,0,0,0,0.000,missing
32,1.067734,0,,,,,,1,0,0,0,0.000,missing
33,1.101101,0,,,,,,1,0,0,0,0.000,missing
34,1.134468,0,,,,,,1,0,0,0,0.000,missing
35,1.167835,0,,,,,,1,0,0,0,0.000,missing
36,1.201201,0,,,,,,1,0,0,0,0.000,missing
37,1.234568,0,,,,,,1,0,0,0,0.000,missing
38,1.267935,0,,,,,,1,0,0,0,0.000,missing
39,1.301301,0,,,,,,1,0,0,0,0.000,missing
40,1.334668,0,,,,,,1,0,0,0,0.000,missing
41,1.368035,0,,,,,,1,0,0,0,0.000,missing
42,1.401401,0,,,,,,1,0,0,0,0.000,missing
43,1.434768,1,666.000,336.000,,,,0,0,0,0,0.567,refined
44,1.468135,1,668.000,335.000,,,,0,0,0,0,0.593,refined
45,1.501502,1,670.000,334.000,,,,0,0,0,0,0.573,refined
46,1.534868,1,676.000,330.000,,,,0,0,0,0,0.635,refined
47,1.568235,1,683.000,322.000,,,,0,0,0,0,0.700,refined
48,1.601602,1,690.000,315.000,,,,0,0,0,0,0.586,refined
49,1.634968,1,696.000,310.000,,,,0,0,0,0,0.599,refined
50,1.668335,1,700.000,311.000,,,,0,0,0,0,0.553,refined
51,1.701702,1,708.000,311.000,,,,0,0,0,0,0.567,refined
52,1.735068,1,715.000,311.000,,,,0,0,0,0,0.620,refined
53,1.768435,1,720.000,312.000,,,,0,0,0,0,0.573,refined
54,1.801802,1,725.000,315.000,,,,0,0,0,0,0.666,refined
55,1.835169,1,728.000,317.000,,,,0,0,0,0,0.800,refined
56,1.868535,1,733.000,319.000,,,,0,0,0,0,0.800,refined
57,1.901902,1,737.000,326.000,,,,0,0,0,0,0.800,refined
58,1.935269,1,742.000,330.000,,,,0,0,0,0,0.800,refined
59,1.968635,1,746.000,337.000,,,,0,0,0,0,0.743,refined
60,2.002002,1,748.000,346.000,,,,0,0,0,0,0.648,refined
61,2.035369,1,754.000,355.000,,,,0,0,0,0,0.676,refined
62,2.068735,1,757.000,365.000,,,,0,0,0,0,0.665,refined
63,2.102102,1,760.000,371.000,5.990110,0.113120,,0,0,1,0,0.647,refined
64,2.135469,1,763.000,382.000,6.018289,0.898927,23.565795,0,0,1,1,0.623,refined
65,2.168836,1,766.000,394.000,6.044086,1.714307,24.449149,0,0,1,1,0.626,refined
66,2.202202,1,770.000,408.000,6.078689,2.614328,26.993550,0,0,1,1,0.614,refined
67,2.235569,1,770.000,417.000,6.068975,3.166709,16.557442,0,0,1,1,0.598,refined
68,2.268936,1,765.000,401.000,6.024355,2.171860,29.845605,0,0,1,1,0.559,refined
69,2.302302,1,757.000,387.000,5.936364,1.246106,27.869892,0,0,1,1,0.604,refined
70,2.335669,1,751.000,372.000,5.870013,0.189139,31.739672,0,0,1,1,0.549,refined
71,2.369036,1,746.000,360.000,,,,0,1,0,0,0.250,interp
72,2.402402,1,741.000,349.000,,,,0,0,0,0,0.560,refined
73,2.435769,1,738.000,340.000,,,,0,0,0,0,0.543,refined
74,2.469136,1,733.000,335.000,,,,0,0,0,0,0.661,refined
75,2.502503,1,730.000,330.000,,,,0,0,0,0,0.729,refined
76,2.535869,1,725.000,324.000,,,,0,0,0,0,0.767,refined
77,2.569236,1,722.000,319.000,,,,0,0,0,0,0.800,refined
78,2.602603,1,719.000,318.000,,,,0,0,0,0,0.685,refined
79,2.635969,1,715.000,315.000,,,,0,0,0,0,0.636,refined
80,2.669336,1,713.000,318.000,,,,0,1,0,0,0.250,interp
81,2.702703,1,711.000,322.000,,,,0,0,0,0,0.631,refined
82,2.736069,1,706.000,323.000,,,,0,0,0,0,0.590,refined
83,2.769436,1,703.000,325.000,,,,0,0,0,0,0.740,refined
84,2.802803,1,702.000,329.000,,,,0,0,0,0,0.755,refined
85,2.836170,1,698.000,335.000,,,,0,0,0,0,0.669,refined
86,2.869536,1,695.000,340.000,,,,0,0,0,0,0.597,refined
87,2.902903,1,691.000,346.000,,,,0,0,0,0,0.616,refined
88,2.936270,1,690.000,352.000,,,,0,0,0,0,0.616,refined
89,2.969636,1,687.000,360.000,,,,0,0,0,0,0.614,refined
90,3.003003,1,686.000,368.000,,,,0,0,0,0,0.651,refined
91,3.036370,1,670.000,347.000,,,,0,0,0,0,0.655,refined
92,3.069736,1,666.000,317.000,,,,0,0,0,0,0.575,refined
93,3.103103,1,657.000,292.000,,,,0,0,0,0,0.655,refined
94,3.136470,1,648.000,270.000,,,,0,0,0,0,0.629,refined
95,3.169837,1,642.000,251.000,,,,0,0,0,0,0.599,refined
96,3.203203,1,632.000,236.000,,,,0,0,0,0,0.800,refined
97,3.236570,1,623.000,218.000,,,,0,0,0,0,0.715,refined
