Frame,Visibility,X,Y,Source,Confidence
0,0,0,0,rejected_static_motion,0.000
1,1,606,348,refined,0.504
2,1,608,348,refined,0.524
3,1,607,346,refined,0.502
4,1,608,346,refined,0.515
5,1,608,347,refined,0.495
6,1,609,346,refined,0.447
7,1,609,347,refined,0.471
8,1,610,346,refined,0.490
9,1,610,345,refined,0.460
10,1,610,345,refined,0.500
11,1,610,347,refined,0.467
12,1,612,348,refined,0.487
13,1,611,347,refined,0.462
14,1,613,346,refined,0.446
15,1,612,349,refined,0.452
16,1,611,348,refined,0.431
17,1,613,348,refined,0.476
18,1,613,348,refined,0.423
19,1,613,348,refined,0.483
20,1,613,348,refined,0.471
21,1,614,348,refined,0.408
22,1,614,348,refined,0.452
23,1,613,347,refined,0.402
24,1,615,347,refined,0.461
25,1,615,347,refined,0.411
26,1,615,347,refined,0.457
27,1,615,347,refined,0.416
28,1,615,347,refined,0.453
29,1,614,346,refined,0.411
30,1,614,346,refined,0.478
31,1,614,346,refined,0.408
32,1,614,346,refined,0.455
33,1,614,346,refined,0.400
34,1,614,346,refined,0.476
35,1,614,346,refined,0.471
36,1,614,346,refined,0.446
37,1,614,346,interp,0.250
38,1,614,347,interp,0.250
39,1,615,347,interp,0.250
40,1,615,348,interp,0.250
41,1,615,348,interp,0.250
42,1,615,348,interp,0.250
43,1,615,349,interp,0.250
44,1,616,349,interp,0.250
45,1,616,349,interp,0.250
46,1,616,350,interp,0.250
47,1,616,350,interp,0.250
48,1,616,350,interp,0.250
49,1,616,351,interp,0.250
50,1,617,351,interp,0.250
51,1,617,352,interp,0.250
52,1,617,352,refined,0.494
53,1,614,350,refined,0.462
54,1,615,352,refined,0.511
55,1,615,352,refined,0.475
56,1,615,352,refined,0.535
57,1,615,352,refined,0.494
58,1,615,353,refined,0.507
59,1,615,353,refined,0.498
60,1,611,352,refined,0.568
61,1,612,352,refined,0.541
62,1,613,347,refined,0.639
63,1,611,348,refined,0.559
64,1,614,343,interp,0.250
65,1,618,338,refined,0.601
66,1,621,333,refined,0.750
67,1,626,327,refined,0.686
68,1,626,323,refined,0.736
69,1,633,318,refined,0.800
70,1,634,317,refined,0.766
71,1,643,322,refined,0.800
72,1,646,323,refined,0.800
73,1,651,327,refined,0.754
74,1,653,324,refined,0.770
75,1,658,331,refined,0.800
76,1,661,334,refined,0.800
77,1,666,341,refined,0.675
78,1,668,348,refined,0.654
79,1,671,355,refined,0.683
80,1,676,364,refined,0.723
81,1,679,371,refined,0.655
82,1,681,383,refined,0.650
83,1,684,394,refined,0.725
84,1,687,405,refined,0.686
85,1,694,388,interp,0.250
86,1,701,370,refined,0.533
87,1,704,342,refined,0.503
88,1,710,314,refined,0.471
89,1,714,296,interp,0.250
90,1,719,277,refined,0.665
91,1,725,262,refined,0.607
92,1,728,252,interp,0.250
93,1,730,242,refined,0.583
94,1,734,234,interp,0.250
95,1,738,226,refined,0.581
96,1,740,221,refined,0.694
97,1,743,217,refined,0.724
98,1,746,212,refined,0.671
99,1,748,209,refined,0.658
100,1,749,208,refined,0.678
101,1,751,208,refined,0.687
102,1,753,207,refined,0.680
103,1,757,210,refined,0.691
104,1,758,210,refined,0.711
105,1,760,213,refined,0.706
106,1,762,217,refined,0.702
107,1,764,222,refined,0.692
108,1,756,218,interp,0.250
109,1,747,214,interp,0.250
110,1,738,210,interp,0.250
111,1,730,206,refined,0.764
112,1,706,189,refined,0.752
113,1,686,175,refined,0.800
114,1,668,164,refined,0.800
115,1,652,157,refined,0.800
116,1,636,147,refined,0.774
117,1,624,145,refined,0.800
118,1,612,141,refined,0.800
119,1,602,136,refined,0.800
120,1,591,133,refined,0.800
121,1,579,137,refined,0.800
122,1,571,137,refined,0.800
123,1,560,140,refined,0.800
124,1,549,141,refined,0.800
125,1,540,145,refined,0.800
126,1,535,152,refined,0.800
127,1,522,157,refined,0.800
128,1,516,165,refined,0.800
129,1,507,173,refined,0.800
130,1,500,181,refined,0.800
131,1,491,189,refined,0.800
132,1,485,200,refined,0.800
133,1,476,213,refined,0.800
134,1,469,223,refined,0.800
135,1,462,236,refined,0.800
136,1,455,250,refined,0.800
137,1,450,265,refined,0.800
138,1,443,283,refined,0.731
139,1,437,296,refined,0.776
140,1,431,314,refined,0.704
141,1,436,319,refined,0.800
142,1,461,309,refined,0.664
143,1,472,299,refined,0.593
144,1,483,297,refined,0.675
145,1,490,296,refined,0.758
146,1,497,294,refined,0.754
147,1,503,296,refined,0.788
148,1,509,296,refined,0.730
149,1,513,297,refined,0.745
150,1,518,299,refined,0.716
151,1,520,302,refined,0.712
152,1,523,307,refined,0.681
153,1,526,311,refined,0.699
154,1,529,314,refined,0.705
155,1,538,314,refined,0.690
156,1,543,307,refined,0.691
157,1,548,303,refined,0.667
158,1,549,302,refined,0.551
159,1,554,303,refined,0.531
160,1,558,306,refined,0.540
161,1,560,308,refined,0.671
162,1,564,309,refined,0.777
163,1,566,313,refined,0.763
164,1,569,316,refined,0.655
165,1,572,322,refined,0.800
166,1,575,331,refined,0.705
167,1,578,336,refined,0.798
168,1,580,343,refined,0.728
169,1,583,353,refined,0.800
170,1,584,361,refined,0.800
171,1,586,371,refined,0.800
172,1,588,382,refined,0.689
173,1,589,393,refined,0.637
174,1,592,405,refined,0.699
175,1,593,417,refined,0.579
176,1,593,432,refined,0.556
177,1,594,446,refined,0.800
178,1,601,433,interp,0.250
179,1,607,421,interp,0.250
180,1,614,408,interp,0.250
181,1,620,396,interp,0.250
182,1,627,383,refined,0.602
183,1,641,343,refined,0.663
184,1,650,304,refined,0.598
185,1,660,272,refined,0.732
186,1,669,244,refined,0.599
187,1,676,223,refined,0.587
188,1,683,205,refined,0.643
189,1,688,190,refined,0.800
190,1,695,175,refined,0.777
191,1,698,164,refined,0.800
192,1,702,152,refined,0.792
193,1,707,145,refined,0.800
194,1,711,138,refined,0.800
195,1,714,132,refined,0.800
196,1,718,128,refined,0.800
197,1,723,125,refined,0.800
198,1,724,121,refined,0.800
199,1,729,119,refined,0.800
200,1,732,117,refined,0.800
201,1,735,120,refined,0.800
202,1,738,118,refined,0.800
203,1,741,121,refined,0.800
204,1,744,123,refined,0.800
205,1,747,127,refined,0.800
206,1,750,131,refined,0.800
207,1,754,137,refined,0.800
208,1,756,142,refined,0.800
209,1,760,147,refined,0.800
210,1,762,155,refined,0.800
211,1,764,164,refined,0.800
212,1,766,172,refined,0.800
213,1,769,181,refined,0.781
214,1,771,189,refined,0.800
215,1,782,183,refined,0.769
216,1,793,172,refined,0.789
217,1,800,165,refined,0.800
218,1,807,159,refined,0.800
219,1,815,154,refined,0.800
220,1,820,152,refined,0.800
221,1,824,151,refined,0.800
222,1,828,148,refined,0.800
223,1,835,149,refined,0.800
224,1,838,153,refined,0.800
225,1,842,153,refined,0.800
226,1,845,158,refined,0.800
227,1,848,160,refined,0.800
228,1,850,167,refined,0.800
229,1,853,172,refined,0.800
230,1,854,180,refined,0.800
231,1,857,187,refined,0.800
232,1,859,198,refined,0.800
233,1,861,205,refined,0.800
234,1,862,218,refined,0.800
235,1,864,228,refined,0.800
236,1,864,241,refined,0.800
237,1,866,256,refined,0.800
238,1,866,270,refined,0.800
239,1,867,285,refined,0.800
240,1,868,302,refined,0.705
241,1,868,319,refined,0.729
242,1,868,337,refined,0.708
243,1,867,355,refined,0.606
244,1,868,372,refined,0.600
245,1,868,391,refined,0.573
246,1,868,407,refined,0.575
247,1,850,378,interp,0.250
248,1,832,349,interp,0.250
249,1,814,320,refined,0.620
250,1,805,300,refined,0.617
251,1,796,285,refined,0.667
252,1,791,275,refined,0.775
253,1,784,266,refined,0.680
254,1,783,260,refined,0.770
255,1,778,255,refined,0.800
256,1,773,252,refined,0.593
257,1,771,250,refined,0.642
258,1,768,247,refined,0.638
259,1,765,249,refined,0.719
260,1,762,249,refined,0.674
261,1,759,251,refined,0.578
262,1,756,253,interp,0.250
263,1,754,255,refined,0.621
264,1,730,256,interp,0.250
265,1,706,257,refined,0.533
266,1,689,258,refined,0.699
267,1,669,262,refined,0.800
268,1,655,267,refined,0.800
269,1,638,271,refined,0.764
270,1,623,276,refined,0.800
271,1,607,281,refined,0.693
272,1,597,286,refined,0.751
273,1,584,294,refined,0.590
274,1,573,303,refined,0.530
275,1,562,312,refined,0.760
276,1,550,319,refined,0.670
277,1,540,329,refined,0.736
278,1,529,340,refined,0.648
279,1,520,349,refined,0.652
280,1,511,361,refined,0.594
281,1,500,373,refined,0.633
282,1,494,385,refined,0.585
283,1,484,399,refined,0.575
284,1,479,412,refined,0.569
285,1,470,427,refined,0.543
286,1,462,442,refined,0.512
287,1,458,456,refined,0.542
288,1,451,473,refined,0.552
289,1,450,429,refined,0.424
290,1,462,388,refined,0.506
291,1,464,350,refined,0.492
292,1,467,324,refined,0.597
293,1,470,303,interp,0.250
294,1,474,282,refined,0.594
295,1,476,268,refined,0.770
296,1,477,251,refined,0.756
297,1,478,242,refined,0.659
298,1,481,231,refined,0.650
299,1,482,223,refined,0.613
300,1,484,218,refined,0.674
301,1,486,210,refined,0.623
302,1,487,207,refined,0.768
303,1,490,203,refined,0.756
304,1,491,200,refined,0.734
305,1,493,200,refined,0.712
306,1,495,200,refined,0.684
307,1,494,201,refined,0.746
308,1,494,203,refined,0.800
