Frame,Visibility,X,Y
0,1,1067,305
1,1,1067,305
2,1,1067,305
3,1,1067,307
4,1,1067,305
5,1,1067,305
6,1,1067,305
7,1,1067,307
8,1,1067,305
9,1,1067,305
10,1,1067,305
11,1,1067,307
12,1,1067,305
13,1,1067,305
14,1,1067,305
15,1,1067,305
16,1,1067,305
17,1,1067,305
18,1,1067,305
19,1,1067,305
20,1,1067,305
21,1,1067,305
22,1,1067,305
23,1,1067,305
24,1,1067,305
25,1,1067,305
26,1,1067,305
27,1,1067,305
28,1,1067,305
29,1,1067,305
30,1,1067,305
31,1,1067,305
32,1,1067,305
33,1,1067,305
34,1,1067,305
35,1,1067,305
36,1,1067,305
37,1,1067,305
38,1,1067,305
39,1,1067,307
40,1,1067,305
41,1,1067,305
42,1,1067,305
43,1,1067,307
44,1,1067,305
45,1,1067,305
46,1,1067,305
47,1,1067,307
48,1,1067,305
49,1,1067,305
50,1,1067,305
51,1,1067,307
52,1,1067,305
53,1,1067,305
54,1,1067,305
55,1,1067,307
56,1,1067,305
57,1,1067,305
58,1,1067,305
59,1,1067,307
60,1,1067,305
61,1,1067,305
62,1,1067,305
63,1,1067,307
64,1,1067,305
65,1,1067,305
66,1,1067,305
67,1,1067,307
68,1,1067,305
69,1,1067,305
70,1,1067,305
71,1,1067,307
72,1,1067,305
73,1,1067,305
74,1,1067,305
75,1,1067,307
76,1,1067,305
77,1,1067,305
78,1,1067,305
79,1,1067,305
80,1,1067,305
81,1,1067,305
82,1,1067,305
83,1,1067,307
84,1,1067,305
85,1,1067,305
86,1,1067,305
87,1,1067,307
88,1,1067,305
89,1,1067,305
90,1,1067,305
91,1,1067,307
92,1,1067,305
93,1,1067,305
94,1,1067,305
95,1,1067,307
96,1,1067,305
97,1,1067,305
98,1,1067,305
99,1,1067,307
100,1,1067,305
101,1,1067,305
102,1,1067,305
103,1,1067,307
104,1,1067,305
105,1,1067,305
106,1,1067,305
107,1,1067,307
108,1,1067,305
109,1,1067,305
110,1,1067,305
111,1,1067,307
112,1,1067,305
113,1,1067,305
114,1,1067,305
115,1,1067,307
116,1,1067,305
117,1,1067,305
118,1,1067,305
119,1,1067,307
120,1,1067,305
121,1,1067,305
122,1,1067,305
123,1,1067,307
124,1,1067,305
125,1,1067,305
126,1,1067,305
127,1,1067,307
128,1,1067,305
129,1,1067,305
130,1,1067,305
131,1,1067,307
132,1,1067,305
133,1,1067,305
134,1,1067,305
135,1,1067,307
136,1,1067,305
137,1,1067,305
138,1,1067,305
139,1,1067,307
140,1,1067,305
141,1,1067,305
142,1,1067,305
143,1,1067,305
144,1,1067,305
145,1,1067,305
146,1,1067,305
147,1,1067,305
148,1,1067,305
149,1,1067,305
150,1,1067,305
151,1,1067,305
152,1,1067,305
153,1,1067,305
154,1,1067,305
155,1,1067,307
156,1,1067,305
157,1,1067,305
158,1,1067,305
159,1,1067,307
160,1,1067,305
161,1,1067,305
162,1,1067,305
163,1,1067,307
164,1,1067,305
165,1,1067,305
166,1,1067,305
167,1,1067,307
168,1,1067,305
169,1,1067,305
170,1,1067,305
171,1,1067,305
172,1,1067,305
173,1,1067,305
174,1,1067,305
175,1,1067,307
176,1,1067,305
177,1,1067,305
178,1,1067,305
179,1,1067,307
180,1,1067,305
181,1,1067,305
182,1,1067,305
183,1,1067,307
184,1,1067,305
185,1,1067,305
186,1,1067,305
187,1,1067,307
188,1,1067,305
189,1,1067,305
190,1,1067,305
191,1,1067,307
192,1,1067,305
193,1,1067,305
194,1,1067,305
195,1,1067,307
196,1,1067,305
197,1,1067,305
198,1,1067,305
199,1,1067,307
200,1,1067,305
201,1,1067,305
202,1,1067,305
203,1,1067,305
204,1,1067,305
205,1,1067,305
206,1,1067,305
207,1,1067,307
208,1,1067,305
209,1,1067,305
210,1,1067,305
211,1,1067,307
212,1,1067,305
213,1,1067,305
214,1,1067,305
215,1,1067,307
216,1,1067,305
217,1,1067,305
218,1,1067,305
219,1,1067,307
220,1,1067,305
221,1,1067,305
222,1,1067,305
223,1,1067,307
224,1,1067,305
225,1,1067,305
226,1,1067,305
227,1,1067,307
228,1,1067,305
229,1,1067,305
230,1,1067,305
231,1,1067,307
232,1,1067,305
233,1,1067,305
234,1,1067,305
235,1,1067,307
236,1,1067,305
237,1,1067,305
238,1,1067,305
239,1,1067,307
240,1,1067,305
241,1,1067,305
242,1,1067,305
243,1,1067,307
244,1,1067,305
245,1,1067,305
246,1,1067,305
247,1,1067,307
248,1,1067,305
249,1,1067,305
250,1,1067,305
251,1,1067,307
252,1,1067,305
253,1,1067,305
254,1,1067,305
255,1,1067,307
256,1,592,175
257,1,590,172
258,1,590,172
259,1,592,172
260,1,1067,305
261,1,1067,305
262,1,1067,305
263,1,1067,307
264,1,1067,305
265,1,1067,305
266,1,1067,305
267,1,1067,307
268,1,1067,305
269,1,1067,305
270,1,1067,305
271,1,1067,307
272,1,1067,305
273,1,1067,305
274,1,1067,305
275,1,1067,307
276,1,1067,305
277,1,1067,305
278,1,1067,305
279,1,1067,307
280,1,1067,305
281,1,1067,305
282,1,1067,305
283,1,1067,307
284,1,1067,305
285,1,1067,305
286,1,1067,305
287,1,1067,307
288,1,1067,305
289,1,1067,305
290,1,1067,305
291,1,1067,307
292,1,1067,305
293,1,1067,305
294,1,1067,305
295,1,1067,307
296,1,1067,305
297,1,1067,305
298,1,1067,305
299,1,1067,307
300,1,1067,305
301,1,1067,305
302,1,1067,305
303,1,1067,307
304,1,1067,305
305,1,1067,305
306,1,1067,305
307,1,1067,307
308,1,1067,305
309,1,1067,305
310,1,1067,305
311,1,1067,307
312,1,1067,305
313,1,1067,305
314,1,1067,305
315,1,1067,307
316,1,1067,305
317,1,1067,305
318,1,1067,305
319,1,1067,307
320,1,1067,305
321,1,1067,305
322,1,1067,305
323,1,1067,307
324,1,1067,305
325,1,1067,305
326,1,1067,305
327,1,1067,307
328,1,1067,305
329,1,1067,305
330,1,1067,305
331,1,1067,307
332,1,1067,305
333,1,1067,305
334,1,1067,305
335,1,1067,307
336,1,1067,305
337,1,1067,305
338,1,1067,305
339,1,1067,307
340,1,1067,305
341,1,1067,305
342,1,1067,305
343,1,1067,307
344,1,1067,305
345,1,1067,305
346,1,1067,305
347,1,1067,307
348,1,1067,305
349,1,1067,305
350,1,1067,305
351,1,1067,305
352,1,1067,305
353,1,1067,305
354,1,1067,305
355,1,1067,307
356,1,1067,305
357,1,1067,305
358,1,1067,305
359,1,1067,305
360,1,1067,305
361,1,1067,305
362,1,1067,305
363,1,1067,307
364,1,1067,305
365,1,1067,305
366,1,1067,305
367,1,1067,307
368,1,1067,305
369,1,1067,305
370,1,1067,305
371,1,1067,307
372,1,1067,305
373,1,1067,305
374,1,1067,305
375,1,1067,307
376,1,1067,305
377,1,1067,305
378,1,1067,305
379,1,1067,307
380,1,1067,305
381,1,1067,305
382,1,1067,305
383,1,1067,307
384,1,1067,305
385,1,1067,305
386,1,1067,305
387,1,1067,307
388,1,1067,305
389,1,1067,305
390,1,1067,305
391,1,1067,307
392,1,1067,305
393,1,1067,305
394,1,1067,305
395,1,1067,307
396,1,1067,305
397,1,1067,305
398,1,1067,305
399,1,1067,307
400,1,1067,305
401,1,1067,305
402,1,1067,305
403,1,1067,307
404,1,1067,305
405,1,1067,305
406,1,1067,305
407,1,1067,307
408,1,1067,305
409,1,1067,305
410,1,1067,305
411,1,1067,307
412,1,1067,305
413,1,1067,305
414,1,1067,305
415,1,1067,307
416,1,1067,305
417,1,1067,305
418,1,1067,305
419,1,1067,307
420,1,1067,305
421,1,1067,305
422,1,1067,305
423,1,1067,307
424,1,1067,305
425,1,1067,305
426,1,1067,305
427,1,1067,307
428,1,1067,305
429,1,1067,305
430,1,1067,305
431,1,1067,307
432,1,1067,305
433,1,1067,305
434,1,1067,305
435,1,1067,307
