uid,rank,school_major,est_score
u_0,1,重庆城市管理职业学院_公共事业类,3.437
u_0,2,上海思博职业技术学院_语言类,3.417
u_0,3,上海济光职业技术学院_建筑设计类,3.414
u_0,4,湖南高速铁路职业技术学院_铁道运输类,3.406
u_0,5,上海工商外国语职业学院_广播影视类,3.403
u_0,6,上海现代化工职业学院_化工技术类,3.401
u_0,7,上海建设管理职业技术学院_房地产类,3.399
u_0,8,上海现代化工职业学院_非金属材料类,3.394
u_0,9,上海工商职业技术学院_航空运输类,3.391
u_0,10,天津城市建设管理职业技术学院_汽车制造类,3.386
u_1,1,上海思博职业技术学院_语言类,2.492
u_1,2,重庆城市管理职业学院_公共事业类,2.491
u_1,3,上海工商外国语职业学院_广播影视类,2.481
u_1,4,上海济光职业技术学院_建筑设计类,2.477
u_1,5,上海工商外国语职业学院_机械设计制造类,2.477
u_1,6,上海震旦职业学院_广播影视类,2.476
u_1,7,天津城市建设管理职业技术学院_汽车制造类,2.474
u_1,8,上海工商职业技术学院_航空运输类,2.469
u_1,9,上海旅游高等专科学校_语言类,2.469
u_1,10,上海工商外国语职业学院_语言类,2.465
u_2,1,重庆城市管理职业学院_公共事业类,3.432
u_2,2,上海思博职业技术学院_语言类,3.413
u_2,3,上海济光职业技术学院_建筑设计类,3.41
u_2,4,湖南高速铁路职业技术学院_铁道运输类,3.401
u_2,5,上海工商外国语职业学院_广播影视类,3.399
u_2,6,上海现代化工职业学院_化工技术类,3.397
u_2,7,上海建设管理职业技术学院_房地产类,3.395
u_2,8,上海现代化工职业学院_非金属材料类,3.389
u_2,9,上海工商职业技术学院_航空运输类,3.387
u_2,10,天津城市建设管理职业技术学院_汽车制造类,3.382
u_3,1,上海思博职业技术学院_语言类,2.488
u_3,2,重庆城市管理职业学院_公共事业类,2.488
u_3,3,上海工商外国语职业学院_广播影视类,2.478
u_3,4,上海济光职业技术学院_建筑设计类,2.474
u_3,5,上海工商外国语职业学院_机械设计制造类,2.474
u_3,6,上海震旦职业学院_广播影视类,2.473
u_3,7,天津城市建设管理职业技术学院_汽车制造类,2.47
u_3,8,上海工商职业技术学院_航空运输类,2.466
u_3,9,上海旅游高等专科学校_语言类,2.466
u_3,10,上海工商外国语职业学院_语言类,2.462
u_4,1,重庆城市管理职业学院_公共事业类,3.427
u_4,2,上海思博职业技术学院_语言类,3.408
u_4,3,上海济光职业技术学院_建筑设计类,3.406
u_4,4,湖南高速铁路职业技术学院_铁道运输类,3.397
u_4,5,上海工商外国语职业学院_广播影视类,3.395
u_4,6,上海现代化工职业学院_化工技术类,3.392
u_4,7,上海建设管理职业技术学院_房地产类,3.391
u_4,8,上海现代化工职业学院_非金属材料类,3.385
u_4,9,上海工商职业技术学院_航空运输类,3.382
u_4,10,天津城市建设管理职业技术学院_汽车制造类,3.377
u_5,1,上海思博职业技术学院_语言类,2.485
u_5,2,重庆城市管理职业学院_公共事业类,2.484
u_5,3,上海工商外国语职业学院_广播影视类,2.475
u_5,4,上海工商外国语职业学院_机械设计制造类,2.471
u_5,5,上海济光职业技术学院_建筑设计类,2.471
u_5,6,上海震旦职业学院_广播影视类,2.47
u_5,7,天津城市建设管理职业技术学院_汽车制造类,2.467
u_5,8,上海旅游高等专科学校_语言类,2.462
u_5,9,上海工商职业技术学院_航空运输类,2.462
u_5,10,上海工商外国语职业学院_语言类,2.459
u_6,1,重庆城市管理职业学院_公共事业类,3.423
u_6,2,上海思博职业技术学院_语言类,3.404
u_6,3,上海济光职业技术学院_建筑设计类,3.401
u_6,4,湖南高速铁路职业技术学院_铁道运输类,3.392
u_6,5,上海工商外国语职业学院_广播影视类,3.39
u_6,6,上海现代化工职业学院_化工技术类,3.388
u_6,7,上海建设管理职业技术学院_房地产类,3.386
u_6,8,上海现代化工职业学院_非金属材料类,3.38
u_6,9,上海工商职业技术学院_航空运输类,3.378
u_6,10,天津城市建设管理职业技术学院_汽车制造类,3.373
u_7,1,上海工商职业技术学院_教育类,2.344
u_7,2,上海工商外国语职业学院_教育类,2.329
u_7,3,上饶幼儿师范高等专科学校_教育类,2.328
u_7,4,上海思博职业技术学院_教育类,2.327
u_7,5,上海工艺美术职业学院_教育类,2.324
u_7,6,上海济光职业技术学院_教育类,2.308
u_7,7,上海震旦职业学院_教育类,2.293
u_7,8,江西司法警官职业学院_法律执行类,1.961
u_7,9,上海工商外国语职业学院_法律实务类,1.897
u_7,10,中南民族大学_外国语言文学类,1.475
u_8,1,上海工商职业技术学院_教育类,2.343
u_8,2,上海工商外国语职业学院_教育类,2.328
u_8,3,上饶幼儿师范高等专科学校_教育类,2.327
u_8,4,上海思博职业技术学院_教育类,2.327
u_8,5,上海工艺美术职业学院_教育类,2.323
u_8,6,上海济光职业技术学院_教育类,2.307
u_8,7,上海震旦职业学院_教育类,2.292
