uid,combo,mbti,school_major,mbti_w,difficulty,rating,院校名称,专业名称,Predicted_MBTI,最低分
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_机械设计制造类,1.0,0.25,4.0,上海工商外国语职业学院,机械设计制造类,ISTJ,100
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_体育类,0.0,0.25,1.0,上海工商外国语职业学院,体育类,ESFJ,101
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_护理类,0.0,0.25,1.0,上海思博职业技术学院,护理类,ESFJ,101
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_计算机类,0.0,0.25,1.0,上海济光职业技术学院,计算机类,INTJ,103
u_0,化学+物理+生物,ISTJ,上海震旦职业学院_计算机类,0.0,0.25,1.0,上海震旦职业学院,计算机类,INTJ,103
u_0,化学+物理+生物,ISTJ,上海旅游高等专科学校_电子商务类,0.0,0.25,1.0,上海旅游高等专科学校,电子商务类,INTP,104
u_0,化学+物理+生物,ISTJ,上海建设管理职业技术学院_房地产类,0.0,0.25,1.0,上海建设管理职业技术学院,房地产类,ESTJ,104
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_建筑设计类,1.0,0.25,4.0,上海济光职业技术学院,建筑设计类,ISTJ,107
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_计算机类,0.0,0.25,1.0,上海工商职业技术学院,计算机类,INTJ,107
u_0,化学+物理+生物,ISTJ,上海震旦职业学院_教育类,0.0,0.25,1.0,上海震旦职业学院,教育类,ENFJ,107
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_广播影视类,0.0,0.25,1.0,上海工商外国语职业学院,广播影视类,ESFP,107
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_土建施工类,0.0,0.25,1.0,上海思博职业技术学院,土建施工类,ESTP,109
u_0,化学+物理+生物,ISTJ,上海震旦职业学院_自动化类,0.0,0.25,1.0,上海震旦职业学院,自动化类,INTP,109
u_0,化学+物理+生物,ISTJ,上海震旦职业学院_护理类,0.0,0.25,1.0,上海震旦职业学院,护理类,ESFJ,110
u_0,化学+物理+生物,ISTJ,上海旅游高等专科学校_旅游类,0.0,0.25,1.0,上海旅游高等专科学校,旅游类,ESFP,111
u_0,化学+物理+生物,ISTJ,上海南湖职业技术学院_旅游类,0.0,0.25,1.0,上海南湖职业技术学院,旅游类,ESFP,111
u_0,化学+物理+生物,ISTJ,上海民远职业技术学院_经济贸易类,0.0,0.25,1.0,上海民远职业技术学院,经济贸易类,ESTJ,111
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_公共卫生与卫生管理类,0.0,0.25,1.0,上海思博职业技术学院,公共卫生与卫生管理类,ESFP,112
u_0,化学+物理+生物,ISTJ,上海现代化工职业学院_物流类,0.0,0.25,1.0,上海现代化工职业学院,物流类,ESTJ,112
u_0,化学+物理+生物,ISTJ,上海旅游高等专科学校_文化服务类,0.0,0.25,1.0,上海旅游高等专科学校,文化服务类,ENFP,114
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_计算机类,0.0,0.25,1.0,上海工商外国语职业学院,计算机类,INTJ,115
u_0,化学+物理+生物,ISTJ,随州职业技术学院_临床医学类,0.0,0.25,1.0,随州职业技术学院,临床医学类,ESFJ,115
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_教育类,0.0,0.25,1.0,上海济光职业技术学院,教育类,ENFJ,116
u_0,化学+物理+生物,ISTJ,上海邦德职业技术学院_金融类,0.0,0.25,1.0,上海邦德职业技术学院,金融类,ESTJ,116
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_计算机类,0.0,0.25,1.0,上海思博职业技术学院,计算机类,INTJ,118
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_自动化类,0.0,0.25,1.0,上海思博职业技术学院,自动化类,INTP,120
u_0,化学+物理+生物,ISTJ,重庆城市管理职业学院_公共事业类,0.0,0.25,1.0,重庆城市管理职业学院,公共事业类,ENFJ,120
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_教育类,0.0,0.25,1.0,上海思博职业技术学院,教育类,ENFJ,121
u_0,化学+物理+生物,ISTJ,上海闵行职业技术学院_电子商务类,0.0,0.25,1.0,上海闵行职业技术学院,电子商务类,INTP,122
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_语言类,0.0,0.25,1.0,上海思博职业技术学院,语言类,INFJ,123
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_语言类,0.0,0.25,1.0,上海工商外国语职业学院,语言类,INFJ,124
u_0,化学+物理+生物,ISTJ,上海邦德职业技术学院_计算机类,0.0,0.25,1.0,上海邦德职业技术学院,计算机类,INTJ,124
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_经济贸易类,0.0,0.25,1.0,上海工商外国语职业学院,经济贸易类,ESTJ,124
u_0,化学+物理+生物,ISTJ,上海旅游高等专科学校_语言类,0.0,0.25,1.0,上海旅游高等专科学校,语言类,INFJ,124
u_0,化学+物理+生物,ISTJ,上海邦德职业技术学院_语言类,0.0,0.25,1.0,上海邦德职业技术学院,语言类,INFJ,124
u_0,化学+物理+生物,ISTJ,福州墨尔本理工职业学院_电子信息类,0.0,0.25,1.0,福州墨尔本理工职业学院,电子信息类,INTJ,125
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_教育类,0.0,0.25,1.0,上海工商外国语职业学院,教育类,ENFJ,126
u_0,化学+物理+生物,ISTJ,上海震旦职业学院_广播影视类,0.0,0.25,1.0,上海震旦职业学院,广播影视类,ESFP,126
u_0,化学+物理+生物,ISTJ,武汉外语外事职业学院_计算机类,0.0,0.25,1.0,武汉外语外事职业学院,计算机类,INTJ,126
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_汽车制造类,1.0,0.25,4.0,上海工商职业技术学院,汽车制造类,ISTJ,127
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_自动化类,0.0,0.25,1.0,上海工商外国语职业学院,自动化类,INTP,128
u_0,化学+物理+生物,ISTJ,上海旅游高等专科学校_餐饮类,0.0,0.25,1.0,上海旅游高等专科学校,餐饮类,ESFP,128
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_建设工程管理类,0.0,0.25,1.0,上海思博职业技术学院,建设工程管理类,ESTP,128
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_护理类,0.0,0.25,1.0,上海济光职业技术学院,护理类,ESFJ,128
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_财务会计类,0.0,0.25,1.0,上海工商职业技术学院,财务会计类,ESTJ,129
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_教育类,0.0,0.25,1.0,上海工商职业技术学院,教育类,ENFJ,130
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_旅游类,0.0,0.25,1.0,上海济光职业技术学院,旅游类,ESFP,130
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_财务会计类,0.0,0.25,1.0,上海济光职业技术学院,财务会计类,ESTJ,132
u_0,化学+物理+生物,ISTJ,上海闵行职业技术学院_健康管理与促进类,0.0,0.25,1.0,上海闵行职业技术学院,健康管理与促进类,ESFP,132
u_0,化学+物理+生物,ISTJ,上海闵行职业技术学院_体育类,0.0,0.25,1.0,上海闵行职业技术学院,体育类,ESFJ,134
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_法律实务类,0.0,0.25,1.0,上海工商外国语职业学院,法律实务类,ENTJ,135
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_体育类,0.0,0.25,1.0,上海思博职业技术学院,体育类,ESFJ,135
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_航空运输类,0.0,0.25,1.0,上海工商职业技术学院,航空运输类,ESTP,135
u_0,化学+物理+生物,ISTJ,石家庄铁路职业技术学院_铁道运输类,1.0,0.25,4.0,石家庄铁路职业技术学院,铁道运输类,ISTJ,135
u_0,化学+物理+生物,ISTJ,上海现代化工职业学院_化工技术类,0.0,0.25,1.0,上海现代化工职业学院,化工技术类,INTP,135
u_0,化学+物理+生物,ISTJ,上海闵行职业技术学院_建筑设备类,0.0,0.25,1.0,上海闵行职业技术学院,建筑设备类,ESTP,142
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_电子商务类,0.0,0.25,1.0,上海思博职业技术学院,电子商务类,INTP,143
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_旅游类,0.0,0.25,1.0,上海工商外国语职业学院,旅游类,ESFP,144
u_0,化学+物理+生物,ISTJ,四川工程职业技术大学_电子商务类,0.0,0.25,1.0,四川工程职业技术大学,电子商务类,INTP,145
u_0,化学+物理+生物,ISTJ,武汉交通职业学院_旅游类,0.0,0.25,1.0,武汉交通职业学院,旅游类,ESFP,146
u_0,化学+物理+生物,ISTJ,上海建设管理职业技术学院_建筑设计类,1.0,0.25,4.0,上海建设管理职业技术学院,建筑设计类,ISTJ,147
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_护理类,0.0,0.25,1.0,上海工商职业技术学院,护理类,ESFJ,147
u_0,化学+物理+生物,ISTJ,上海旅游高等专科学校_广播影视类,0.0,0.25,1.0,上海旅游高等专科学校,广播影视类,ESFP,148
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_自动化类,0.0,0.25,1.0,上海工商职业技术学院,自动化类,INTP,148
u_0,化学+物理+生物,ISTJ,上海工商外国语职业学院_财务会计类,0.0,0.25,1.0,上海工商外国语职业学院,财务会计类,ESTJ,149
u_0,化学+物理+生物,ISTJ,上海南湖职业技术学院_电子信息类,0.0,0.25,1.0,上海南湖职业技术学院,电子信息类,INTJ,149
u_0,化学+物理+生物,ISTJ,上海现代化工职业学院_机械设计制造类,1.0,0.25,4.0,上海现代化工职业学院,机械设计制造类,ISTJ,150
u_0,化学+物理+生物,ISTJ,日照职业技术学院_计算机类,0.0,0.25,1.0,日照职业技术学院,计算机类,INTJ,150
u_0,化学+物理+生物,ISTJ,上海建设管理职业技术学院_土建施工类,0.0,0.25,1.0,上海建设管理职业技术学院,土建施工类,ESTP,151
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_资源勘查类,0.0,0.25,1.0,上海工商职业技术学院,资源勘查类,ESTP,151
u_0,化学+物理+生物,ISTJ,上海工商职业技术学院_经济贸易类,0.0,0.25,1.0,上海工商职业技术学院,经济贸易类,ESTJ,152
u_0,化学+物理+生物,ISTJ,上饶幼儿师范高等专科学校_教育类,0.0,0.25,1.0,上饶幼儿师范高等专科学校,教育类,ENFJ,152
u_0,化学+物理+生物,ISTJ,上海思博职业技术学院_公共服务类,0.0,0.25,1.0,上海思博职业技术学院,公共服务类,ESFJ,153
u_0,化学+物理+生物,ISTJ,上海济光职业技术学院_建设工程管理类,0.0,0.25,1.0,上海济光职业技术学院,建设工程管理类,ESTP,155
u_0,化学+物理+生物,ISTJ,湖南铁道职业技术学院_铁道运输类,1.0,0.25,4.0,湖南铁道职业技术学院,铁道运输类,ISTJ,155
u_0,化学+物理+生物,ISTJ,上海现代化工职业学院_自动化类,0.0,0.25,1.0,上海现代化工职业学院,自动化类,INTP,156
u_0,化学+物理+生物,ISTJ,石家庄铁路职业技术学院_自动化类,0.0,0.25,1.0,石家庄铁路职业技术学院,自动化类,INTP,156
u_0,化学+物理+生物,ISTJ,上海震旦职业学院_药学类,0.0,0.25,1.0,上海震旦职业学院,药学类,INFJ,157
u_0,化学+物理+生物,ISTJ,上海民远职业技术学院_水上运输类,1.0,0.25,4.0,上海民远职业技术学院,水上运输类,ISTJ,157
u_0,化学+物理+生物,ISTJ,上海建设管理职业技术学院_市政工程类,0.0,0.25,1.0,上海建设管理职业技术学院,市政工程类,ESTP,157
u_0,化学+物理+生物,ISTJ,日照职业技术学院_电子商务类,0.0,0.25,1.0,日照职业技术学院,电子商务类,INTP,157
u_0,化学+物理+生物,ISTJ,湖南铁路科技职业技术学院_城市轨道交通类,0.0,0.25,1.0,湖南铁路科技职业技术学院,城市轨道交通类,ESTP,157
u_0,化学+物理+生物,ISTJ,天津城市建设管理职业技术学院_汽车制造类,1.0,0.25,4.0,天津城市建设管理职业技术学院,汽车制造类,ISTJ,158
